date,time,press,temp,rh,wdir,wspeed,geopot,lon,lat,alt,u,v,sea,S,Cn2
2020-01-03 23:00:00,3620.0,65.12376400000001,205.1956,0.0389016318321228,298.83258,5.8578315000000005,18992.87,-15.975067999999998,28.260782,18913.09098,5.131652,-2.8249502,-76.80481,0.012057015732743051,3.551798448207946e-18
2020-01-03 23:00:00,3621.0,65.071014,205.19073,0.0387464714050293,299.11252,5.913679,18996.857,-15.9750185,28.260778,18918.095980000002,5.1665800000000015,-2.8771603,-76.80825,0.012982047337827776,3.533220355281385e-18
2020-01-03 23:00:00,3622.0,65.01795,205.2112,0.03858602523803712,299.39398,5.973011,19001.559,-15.974966,28.260777,18923.02798,5.204077,-2.931628,-76.81169,0.013438323948860879,3.565629950816481e-18
2020-01-03 23:00:00,3623.0,64.9642,205.2825,0.03840885162353516,299.671,6.0348004999999985,19006.904,-15.974911,28.260773,18928.095980000002,5.2435307999999985,-2.9873407000000003,-76.81515,0.013268548151745748,3.727348535215065e-18
2020-01-03 23:00:00,3624.0,64.90942,205.3825,0.03824098587036133,299.93906,6.0979342,19011.246,-15.974854999999998,28.260767,18933.39698,5.2842054,-3.0433495,-76.8186,0.013062483039546349,4.323869176323669e-18
2020-01-03 23:00:00,3625.0,64.85348499999999,205.50029,0.038069465160369874,300.19464,6.1613674000000005,19016.375,-15.9748,28.260754,18938.68298,5.3254046,-3.0987923,-76.82207,0.012851273961556388,5.454633088987616e-18
2020-01-03 23:00:00,3626.0,64.796616,205.5923,0.03789599657058716,300.43427,6.224183999999998,19022.254,-15.974743,28.260729,18944.061980000002,5.36656,-3.1528563,-76.82552,0.012481389616294494,6.299057392185243e-18
2020-01-03 23:00:00,3627.0,64.73904,205.61292,0.037721266746520994,300.6550299999999,6.285485,19027.922,-15.974683,28.260693,18949.40298,5.407105400000002,-3.2047668,-76.82898,0.0122022398486321,6.556697924862751e-18
2020-01-03 23:00:00,3628.0,64.681145,205.58669,0.037544090747833256,300.85495,6.344312,19034.172,-15.974620000000002,28.260647,18954.60498,5.446392,-3.253784,-76.83245,0.01160431894510344,6.56592781401397e-18
2020-01-03 23:00:00,3629.0,64.62319000000001,205.54799,0.0373670220375061,301.03265,6.3997364,19038.828,-15.974555,28.260593,18959.89398,5.4837656,-3.2992334000000003,-76.83593,0.010517980436917313,6.548761782977628e-18
2020-01-03 23:00:00,3630.0,64.56518,205.5143,0.03718790531158448,301.18655,6.45099,19043.762,-15.97449,28.260538,18965.36198,5.518731,-3.3404915,-76.8394,0.009413882350360864,6.542362028890962e-18
2020-01-03 23:00:00,3631.0,64.50725600000001,205.48903,0.037008171081542966,301.3144200000001,6.497521,19049.947,-15.974429,28.260483,18970.811980000002,5.5510150000000005,-3.3769825,-76.84286999999998,0.008455534201689435,6.545106251727064e-18
2020-01-03 23:00:00,3632.0,64.44914,205.47227,0.0368280291557312,301.4131,6.538944,19054.549,-15.97437,28.26043,18976.18998,5.580543,-3.4081268,-76.84634399999999,0.007406804684898678,6.557164526867347e-18
2020-01-03 23:00:00,3633.0,64.390686,205.47041,0.03664653778076172,301.48,6.574909700000001,19059.736,-15.974314,28.260386,18981.566980000007,5.6072307,-3.4334247,-76.849815,0.006301811766178874,6.578460816353064e-18
2020-01-03 23:00:00,3634.0,64.33196,205.4902,0.03646259069442749,301.5146,6.60504,19065.457,-15.97426,28.26035,18986.81898,5.6308440000000015,-3.452557,-76.85328,0.005306169292176631,6.619341366472342e-18
2020-01-03 23:00:00,3635.0,64.2731,205.55365,0.036276960372924806,301.51736,6.628990700000001,19071.49,-15.974207,28.26032,18991.73298,5.6510940000000005,-3.46535,-76.85673,0.004276874829985645,6.683125985511283e-18
2020-01-03 23:00:00,3636.0,64.21448000000001,205.66512,0.03609047412872315,301.48804,6.646565,19077.023,-15.974154,28.260296000000004,18996.52098,5.667853,-3.4716375,-76.860176,0.003163813752888003,6.722822848111244e-18
2020-01-03 23:00:00,3637.0,64.156296,205.78717,0.03590298175811766,301.4247,6.6577916,19084.506,-15.974099,28.260271000000003,19001.52098,5.681267299999999,-3.4712238,-76.863625,0.002425495120929789,6.717438168810262e-18
2020-01-03 23:00:00,3638.0,64.09861,205.85397,0.035713062286376954,301.32486,6.662871400000001,19087.037,-15.97404,28.260248,19006.87798,5.6916466,-3.4639587,-76.8671,0.0025303720578274394,6.693916754854728e-18
2020-01-03 23:00:00,3639.0,64.04153000000001,205.85986,0.035520048141479486,301.18723,6.662045,19092.422,-15.973976,28.26022,19012.50598,5.699245,-3.4498482000000004,-76.870544,0.003286696880889291,6.6818951627863836e-18
2020-01-03 23:00:00,3640.0,63.984962,205.84769,0.035326175689697266,301.0126,6.655517,19098.861,-15.97391,28.260187,19018.14198,5.704137,-3.4291,-76.87402,0.004425152376341404,6.7021880616084645e-18
2020-01-03 23:00:00,3641.0,63.928852,205.83777,0.03513289928436278,300.8033,6.6435227,19104.023,-15.973841,28.26015,19023.49598,5.7063227,-3.4020987000000003,-76.87749000000002,0.005619953314827048,6.7511965399749356e-18
2020-01-03 23:00:00,3642.0,63.873207,205.82626,0.0349383807182312,300.56137,6.626467999999999,19109.797,-15.973767,28.260115000000006,19028.79798,5.705953,-3.3693,-76.88096,0.0066764397104107425,6.835065449562427e-18
2020-01-03 23:00:00,3643.0,63.818153,205.80885,0.03474165916442872,300.28754,6.6049333,19113.865,-15.973693,28.260078000000004,19034.12998,5.703394,-3.3311322,-76.884445,0.0076454972300839625,6.99604262171603e-18
2020-01-03 23:00:00,3644.0,63.76360699999999,205.79587,0.03454378843307495,299.98254,6.579528,19118.855,-15.973621,28.260040000000004,19039.46598,5.6990404,-3.2880275,-76.8879,0.00848802583131775,7.333836533814298e-18
